gameId,playId,ballCarrierId,ballCarrierDisplayName,playDescription,quarter,down,yardsToGo,possessionTeam,defensiveTeam,yardlineSide,yardlineNumber,gameClock,preSnapHomeScore,preSnapVisitorScore,passResult,passLength,penaltyYards,prePenaltyPlayResult,playResult,playNullifiedByPenalty,absoluteYardlineNumber,offenseFormation,defendersInTheBox,passProbability,preSnapHomeTeamWinProbability,preSnapVisitorTeamWinProbability,homeTeamWinProbabilityAdded,visitorTeamWinProbilityAdded,expectedPoints,expectedPointsAdded,foulName1,foulName2,foulNFLId1,foulNFLId2,frameId,playDirection,x,y,distanceToEndZone,height_x,weight_x,collegeName,Full Name,Team,Position,yearsPro,overall_rating,teamId,age
2022100908,3537,48723,Parker Hesse,(7:52) (Shotgun) M.Mariota pass short middle to P.Hesse to 50 for 9 yards (K.Neal).,4,1,10,ATL,TB,ATL,41,7:52,21,7,C,6.0,,9,9,N,69,SHOTGUN,7.0,0.747284412,0.976784671,0.023215329,-0.006110488,0.006110488,2.360608883,0.981955114,,,,,1,left,63.87,29.23,63.87,6-3,261,Iowa,Parker Hesse,Falcons,TE,2.0,52.0,14.0,27.0
2022091100,121,48723,Parker Hesse,(13:41) (Shotgun) M.Mariota pass short middle to P.Hesse to ATL 47 for 5 yards (P.Williams).,1,3,4,ATL,NO,ATL,42,13:41,0,0,C,1.0,,5,5,N,52,SHOTGUN,6.0,0.679818034,0.301111888,0.698888112,0.031911325,-0.031911325,1.101519333,1.691266364,,,,,1,right,52.77,26.42,67.22999999999999,6-3,261,Iowa,Parker Hesse,Falcons,TE,2.0,52.0,14.0,27.0
2022091807,1217,48723,Parker Hesse,(5:30) M.Mariota pass short right to P.Hesse to LA 8 for 5 yards (J.Fuller; E.Jones) [A.Donald].,2,4,1,ATL,LA,LA,13,5:30,14,0,C,4.0,,5,5,N,97,SINGLEBACK,8.0,0.35256508,0.93888214,0.06111786,-0.008299712,0.008299712,4.061244134,1.458293909,,,,,1,right,101.06,8.47,18.94,6-3,261,Iowa,Parker Hesse,Falcons,TE,2.0,52.0,14.0,27.0
2022100201,749,48723,Parker Hesse,(2:11) (Shotgun) M.Mariota pass deep left to P.Hesse pushed ob at CLV 13 for 22 yards (M.Emerson) [I.Rochell].,1,2,14,ATL,CLE,CLE,35,2:11,3,0,C,17.0,,22,22,N,75,EMPTY,6.0,0.81200403,0.683317136,0.316682864,0.03464283,-0.03464283,3.036869439,2.10000528,,,,,1,right,91.15,51.02,28.849999999999994,6-3,261,Iowa,Parker Hesse,Falcons,TE,2.0,52.0,14.0,27.0
2022103001,959,48723,Parker Hesse,(13:40) (Shotgun) M.Mariota pass short left to P.Hesse to CAR 42 for 9 yards (M.Hartsfield).,2,2,7,ATL,CAR,ATL,49,13:40,0,3,C,8.0,,9,9,N,59,SHOTGUN,7.0,0.694503546,0.575766198,0.424233802,0.02478775,-0.02478775,2.191210835,0.948804891,,,,,1,right,66.42,39.05,53.58,6-3,261,Iowa,Parker Hesse,Falcons,TE,2.0,52.0,14.0,27.0
2022091103,3126,52457,Chase Claypool,(7:38) (Shotgun) C.Claypool right end to PIT 37 for 3 yards (C.Awuzie).,4,1,10,PIT,CIN,PIT,34,7:38,14,20,,,,3,3,N,76,SHOTGUN,7.0,0.41645366,0.160484683,0.839515317,-0.010864805,0.010864805,1.733344087,-0.263423888,,,,,1,left,78.22,20.17,78.22,6-4,227,Notre Dame,Chase Claypool,Steelers,WR,2.0,78.0,29.0,24.0
2022091103,1171,52457,Chase Claypool,(10:18) (Shotgun) M.Trubisky pass short right to C.Claypool to CIN 3 for 4 yards (M.Hilton).,2,2,7,PIT,CIN,CIN,7,10:18,3,10,C,4.0,,4,4,N,17,SHOTGUN,7.0,0.686470807,0.390693352,0.609306648,-0.004841376,0.004841376,4.763822751,-0.375771741,,,,,1,left,12.26,38.49,12.26,6-4,227,Notre Dame,Chase Claypool,Steelers,WR,2.0,78.0,29.0,24.0
2022101607,196,52457,Chase Claypool,(12:53) (Shotgun) K.Pickett pass short left to C.Claypool to TB 39 for 14 yards (J.Dean).,1,1,10,PIT,TB,PIT,47,12:53,0,0,C,3.0,,14,14,N,57,SHOTGUN,6.0,0.763408422,0.334812174,0.665187826,0.02892934,-0.02892934,2.786261283,0.854846171,,,,,1,right,60.55,35.56,59.45,6-4,227,Notre Dame,Chase Claypool,Steelers,WR,2.0,78.0,29.0,24.0
2022091103,4686,52457,Chase Claypool,(3:18) (Shotgun) M.Trubisky pass short left to C.Claypool to CIN 37 for 6 yards (M.Hilton).,5,2,10,PIT,CIN,CIN,43,3:18,20,20,C,3.0,,6,6,N,67,SHOTGUN,6.0,0.760873139,0.407204718,0.592795282,-0.022917566,0.022917566,2.007999093,0.094692624,,,,,1,right,70.16,44.18,49.84,6-4,227,Notre Dame,Chase Claypool,Steelers,WR,2.0,78.0,29.0,24.0
2022101607,3995,52457,Chase Claypool,(2:15) (Shotgun) M.Trubisky pass deep left to C.Claypool ran ob at TB 38 for 26 yards.,4,3,11,PIT,TB,PIT,36,2:15,20,18,C,24.0,,26,26,N,74,SHOTGUN,6.0,0.911092997,0.731710311,0.268289689,0.140056733,-0.140056733,0.466407064,2.259763628,,,,,1,left,53.68,2.38,53.68,6-4,227,Notre Dame,Chase Claypool,Steelers,WR,2.0,78.0,29.0,24.0
2022091103,2058,52457,Chase Claypool,(12:08) (Shotgun) M.Trubisky pass short middle to C.Claypool to PIT 20 for 3 yards (M.Hilton) [D.Reader].,3,3,2,PIT,CIN,PIT,17,12:08,6,17,C,3.0,,3,3,N,27,SHOTGUN,7.0,0.831817329,0.343923137,0.656076863,-0.057355311,0.057355311,-0.43664538,1.344067339,,,,,1,right,30.19,30.76,89.81,6-4,227,Notre Dame,Chase Claypool,Steelers,WR,2.0,78.0,29.0,24.0
2022102311,1535,52457,Chase Claypool,(4:37) (Shotgun) K.Pickett pass short right to C.Claypool pushed ob at MIA 35 for 11 yards (J.Bethel).,2,1,20,PIT,MIA,MIA,46,4:37,13,3,C,5.0,,11,11,N,64,SHOTGUN,7.0,0.74036479,0.891785236,0.108214764,-0.002755092,0.002755092,2.597633995,0.564638716,,,,,1,right,68.46,17.54,51.540000000000006,6-4,227,Notre Dame,Chase Claypool,Steelers,WR,2.0,78.0,29.0,24.0
2022102311,3447,52457,Chase Claypool,(6:10) (Shotgun) K.Pickett pass short left to C.Claypool ran ob at MIA 48 for 12 yards (J.Holland).,4,3,10,PIT,MIA,PIT,40,6:10,16,10,C,4.0,,12,12,N,50,SHOTGUN,6.0,0.98405242,0.858011547,0.141988453,-0.050942779,0.050942779,0.770962214,1.924841066,,,,,1,right,53.58,40.67,66.42,6-4,227,Notre Dame,Chase Claypool,Steelers,WR,2.0,78.0,29.0,24.0
2022100901,3292,52457,Chase Claypool,"(11:53) (No Huddle, Shotgun) K.Pickett pass short middle to C.Claypool to BUF 36 for 6 yards (T.Bernard).",4,1,10,PIT,BUF,BUF,42,11:53,38,3,C,5.0,,6,6,N,52,SHOTGUN,6.0,0.755351067,0.99909007,0.00090993,-4.73e-06,4.73e-06,3.347484561,0.21045429,,,,,1,left,47.67,26.36,47.67,6-4,227,Notre Dame,Chase Claypool,Steelers,WR,2.0,78.0,29.0,24.0
2022103008,491,52457,Chase Claypool,(7:40) (Shotgun) K.Pickett pass short left to C.Claypool ran ob at PIT 47 for 8 yards (J.Bradberry).,1,1,10,PIT,PHI,PIT,39,7:40,7,0,C,7.0,,8,8,N,71,EMPTY,5.0,0.49469614,0.883913197,0.116086803,-0.012461981,0.012461981,2.244783168,0.562595845,,,,,1,left,63.18,3.01,63.18,6-4,227,Notre Dame,Chase Claypool,Steelers,WR,2.0,78.0,29.0,24.0
2022100901,2871,52457,Chase Claypool,"(3:14) (Shotgun) K.Pickett pass short left to C.Claypool to BUF 38 for 20 yards (T.Johnson, J.Johnson) [G.Rousseau].",3,3,8,PIT,BUF,PIT,42,3:14,31,3,C,10.0,,20,20,N,52,SHOTGUN,5.0,0.988155484,0.998201354,0.001798646,-0.000340629,0.000340629,1.345363423,2.502466206,,,,,1,right,62.68,39.36,57.32,6-4,227,Notre Dame,Chase Claypool,Steelers,WR,2.0,78.0,29.0,24.0
